original_sort_by_domain/table,domain,table,phase,field,type,constraint,notes
633,audit_business_date_settings,settings_catalog,p3,is_secret,,,
634,audit_business_date_settings,settings_catalog,p3,created_at,,,
635,audit_business_date_settings,settings_catalog,p3,updated_at,,,
636,audit_business_date_settings,settings_values,p3,id,,,
637,audit_business_date_settings,settings_values,p3,settings_catalog_id,,,
638,audit_business_date_settings,settings_values,p3,scope_type,,,
639,audit_business_date_settings,settings_values,p3,scope_id,,,
640,audit_business_date_settings,settings_values,p3,value_json,,,
641,audit_business_date_settings,settings_values,p3,value_cipher,,,
642,audit_business_date_settings,settings_values,p3,effective_on,,,
643,audit_business_date_settings,settings_values,p3,ends_on,,,
644,audit_business_date_settings,settings_values,p3,created_at,,,
645,audit_business_date_settings,settings_values,p3,updated_at,,,
646,audit_business_date_settings,export_jobs,p3,id,,,
647,audit_business_date_settings,export_jobs,p3,export_type,,,
648,audit_business_date_settings,export_jobs,p3,status,,,
649,audit_business_date_settings,export_jobs,p3,reference_number,,,
650,audit_business_date_settings,export_jobs,p3,started_at,,,
651,audit_business_date_settings,export_jobs,p3,completed_at,,,
652,audit_business_date_settings,export_jobs,p3,artifact_path,,,
653,audit_business_date_settings,export_jobs,p3,created_by_id,,,
654,audit_business_date_settings,export_jobs,p3,created_at,,,
655,audit_business_date_settings,export_jobs,p3,updated_at,,,
656,audit_business_date_settings,statement_runs,p2,id,,,
657,audit_business_date_settings,statement_runs,p2,business_date,,,
658,audit_business_date_settings,statement_runs,p2,statement_cycle,,,
659,audit_business_date_settings,statement_runs,p2,status,,,
660,audit_business_date_settings,statement_runs,p2,started_at,,,
661,audit_business_date_settings,statement_runs,p2,completed_at,,,
662,audit_business_date_settings,statement_runs,p2,created_at,,,
663,audit_business_date_settings,statement_runs,p2,updated_at,,,
664,audit_business_date_settings,statements,p2,id,,,
665,audit_business_date_settings,statements,p2,statement_run_id,,,
666,audit_business_date_settings,statements,p2,account_id,,,
667,audit_business_date_settings,statements,p2,period_start,,,
668,audit_business_date_settings,statements,p2,period_end,,,
669,audit_business_date_settings,statements,p2,statement_date,,,
670,audit_business_date_settings,statements,p2,status,,,
671,audit_business_date_settings,statements,p2,delivery_channel,,,
672,audit_business_date_settings,statements,p2,artifact_path,,,
673,audit_business_date_settings,statements,p2,created_at,,,
674,audit_business_date_settings,statements,p2,updated_at,,,
